,scrapped_jobs,official_match_title,distance
140,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Astronomers,150.76968
141,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Materials Scientists,153.28554
142,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Physicists,163.14833
143,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Nanosystems Engineers,163.298
144,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Survey Researchers,186.08226
145,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Remote Sensing Scientists and Technologists,186.53807
146,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Biostatisticians,189.67795
147,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Geneticists,189.69873
148,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Bioinformatics Scientists,190.6737
149,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Atmospheric and Space Scientists,192.77957
150,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Astronomers,150.76968
151,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Materials Scientists,153.28554
152,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Physicists,163.14833
153,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Nanosystems Engineers,163.298
154,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Survey Researchers,186.08226
155,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Remote Sensing Scientists and Technologists,186.53807
156,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Biostatisticians,189.67795
157,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Geneticists,189.69873
158,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Bioinformatics Scientists,190.6737
159,"Research Fellow (Quantum Hardware Engineer, NQCH ) | #Urgent",Atmospheric and Space Scientists,192.77957
160,Quantum Sensing Expert,Freight Forwarders,281.80875
161,Quantum Sensing Expert,Environmental Compliance Inspectors,284.5312
162,Quantum Sensing Expert,Aerospace Engineers,285.83554
163,Quantum Sensing Expert,Compliance Officers,286.38397
164,Quantum Sensing Expert,"Shipping, Receiving, and Inventory Clerks",286.74454
165,Quantum Sensing Expert,Cargo and Freight Agents,288.95532
166,Quantum Sensing Expert,Document Management Specialists,289.27933
167,Quantum Sensing Expert,Security Managers,290.89178
168,Quantum Sensing Expert,Electrical Engineers,290.8937
169,Quantum Sensing Expert,Environmental Engineering Technologists and Technicians,291.36945
170,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Astronomers,136.6102
171,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Materials Scientists,139.10527
172,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Physicists,150.2193
173,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Nanosystems Engineers,151.71165
174,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Biostatisticians,172.51086
175,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Bioinformatics Scientists,174.19994
176,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Survey Researchers,174.50806
177,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",175.36348
178,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,176.12233
179,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Geneticists,176.45224
180,Associate Agile Consultant – IBM CIC,Business Intelligence Analysts,171.47748
181,Associate Agile Consultant – IBM CIC,Web Developers,173.58467
182,Associate Agile Consultant – IBM CIC,Database Administrators,178.07762
183,Associate Agile Consultant – IBM CIC,Computer and Information Research Scientists,179.21588
184,Associate Agile Consultant – IBM CIC,"Library Assistants, Clerical",180.2013
185,Associate Agile Consultant – IBM CIC,Database Architects,182.47623
186,Associate Agile Consultant – IBM CIC,Word Processors and Typists,182.49493
187,Associate Agile Consultant – IBM CIC,Appraisers of Personal and Business Property,183.02295
188,Associate Agile Consultant – IBM CIC,Bioinformatics Technicians,185.44249
189,Associate Agile Consultant – IBM CIC,File Clerks,186.36853
190,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Astronomers,136.6102
191,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Materials Scientists,139.10527
192,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Physicists,150.2193
193,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Nanosystems Engineers,151.71165
194,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Biostatisticians,172.51086
195,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Bioinformatics Scientists,174.19994
196,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Survey Researchers,174.50806
197,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",175.36348
198,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,176.12233
199,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Geneticists,176.45224
200,"Research Fellow, Quantum Computation and Simulation",Astronomers,141.03044
201,"Research Fellow, Quantum Computation and Simulation",Materials Scientists,143.83908
202,"Research Fellow, Quantum Computation and Simulation",Physicists,154.64046
203,"Research Fellow, Quantum Computation and Simulation",Nanosystems Engineers,157.29333
204,"Research Fellow, Quantum Computation and Simulation",Biostatisticians,178.36835
205,"Research Fellow, Quantum Computation and Simulation","Agricultural Sciences Teachers, Postsecondary",179.26266
206,"Research Fellow, Quantum Computation and Simulation",Survey Researchers,180.40344
207,"Research Fellow, Quantum Computation and Simulation",Bioinformatics Scientists,181.7352
208,"Research Fellow, Quantum Computation and Simulation",Atmospheric and Space Scientists,182.89885
209,"Research Fellow, Quantum Computation and Simulation",Remote Sensing Scientists and Technologists,183.13193
210,Quantum Technologies PhD Scholarships,Astronomers,172.72443
211,Quantum Technologies PhD Scholarships,Materials Scientists,186.59955
212,Quantum Technologies PhD Scholarships,Physicists,186.8519
213,Quantum Technologies PhD Scholarships,Economists,188.30768
214,Quantum Technologies PhD Scholarships,Geneticists,189.51398
215,Quantum Technologies PhD Scholarships,Molecular and Cellular Biologists,191.54886
216,Quantum Technologies PhD Scholarships,"Agricultural Sciences Teachers, Postsecondary",192.86787
217,Quantum Technologies PhD Scholarships,"Anthropology and Archeology Teachers, Postsecondary",192.99951
218,Quantum Technologies PhD Scholarships,Remote Sensing Scientists and Technologists,193.68652
219,Quantum Technologies PhD Scholarships,Biochemists and Biophysicists,195.86714
220,Quantum Content & Communications Manager (Any US Location),Web Developers,156.63766
221,Quantum Content & Communications Manager (Any US Location),Materials Scientists,174.02322
222,Quantum Content & Communications Manager (Any US Location),Telecommunications Engineering Specialists,174.76462
223,Quantum Content & Communications Manager (Any US Location),Bioinformatics Technicians,176.34601
224,Quantum Content & Communications Manager (Any US Location),Search Marketing Strategists,178.65012
225,Quantum Content & Communications Manager (Any US Location),Database Administrators,179.45093
226,Quantum Content & Communications Manager (Any US Location),Biostatisticians,180.31656
227,Quantum Content & Communications Manager (Any US Location),Nanosystems Engineers,182.21014
228,Quantum Content & Communications Manager (Any US Location),Computer and Information Research Scientists,184.56688
229,Quantum Content & Communications Manager (Any US Location),Astronomers,187.25717
230,Public Sector Consultant,Training and Development Specialists,128.1684
231,Public Sector Consultant,Human Resources Specialists,131.49771
232,Public Sector Consultant,Investment Fund Managers,134.29381
233,Public Sector Consultant,Loss Prevention Managers,134.94682
234,Public Sector Consultant,Advertising Sales Agents,137.32526
235,Public Sector Consultant,Human Resources Managers,138.78145
236,Public Sector Consultant,Legislators,138.87726
237,Public Sector Consultant,"Education Administrators, Kindergarten through Secondary",139.17819
238,Public Sector Consultant,Social and Community Service Managers,139.25806
239,Public Sector Consultant,Energy Auditors,141.19754
240,Professional Research Assistant,Materials Scientists,142.8577
241,Professional Research Assistant,Nanosystems Engineers,143.71463
242,Professional Research Assistant,Physicists,144.54346
243,Professional Research Assistant,Astronomers,147.96594
244,Professional Research Assistant,Telecommunications Engineering Specialists,158.97615
245,Professional Research Assistant,Remote Sensing Scientists and Technologists,159.97574
246,Professional Research Assistant,Statisticians,161.80762
247,Professional Research Assistant,Forensic Science Technicians,162.706
248,Professional Research Assistant,Nuclear Monitoring Technicians,163.10364
249,Professional Research Assistant,Microsystems Engineers,165.55434
250,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Materials Scientists,180.85071
251,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Physicists,183.61235
252,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Astronomers,188.41039
253,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Nanosystems Engineers,189.16704
254,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Statisticians,192.57364
255,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Fuel Cell Engineers,192.83395
256,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies","Electronics Engineers, Except Computer",196.42365
257,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Photonics Technicians,196.63742
258,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Quality Control Analysts,197.87999
259,"Research Fellow (Ultra-stable Cavities),Centre For Quantum Technologies",Chemical Technicians,198.74075
260,Research Scientist – Responsible Technology,Telecommunications Engineering Specialists,122.82559
261,Research Scientist – Responsible Technology,Web Developers,128.36214
262,Research Scientist – Responsible Technology,Statisticians,128.70052
263,Research Scientist – Responsible Technology,Materials Scientists,131.82257
264,Research Scientist – Responsible Technology,Biostatisticians,138.23587
265,Research Scientist – Responsible Technology,Network and Computer Systems Administrators,139.77707
266,Research Scientist – Responsible Technology,Bioinformatics Scientists,140.96564
267,Research Scientist – Responsible Technology,Nanosystems Engineers,141.10031
268,Research Scientist – Responsible Technology,Computer Network Architects,141.391
269,Research Scientist – Responsible Technology,Computer Systems Engineers/Architects,142.91089
270,"Science & Technology Researchers, Engineers & Managers",Materials Scientists,150.27518
271,"Science & Technology Researchers, Engineers & Managers",Telecommunications Engineering Specialists,151.22357
272,"Science & Technology Researchers, Engineers & Managers",Physicists,151.6519
273,"Science & Technology Researchers, Engineers & Managers",Forensic Science Technicians,157.36823
274,"Science & Technology Researchers, Engineers & Managers",Astronomers,161.79123
275,"Science & Technology Researchers, Engineers & Managers",Nanosystems Engineers,166.83534
276,"Science & Technology Researchers, Engineers & Managers",Web Administrators,168.16333
277,"Science & Technology Researchers, Engineers & Managers",Statisticians,170.2566
278,"Science & Technology Researchers, Engineers & Managers",Computer Network Architects,172.34016
279,"Science & Technology Researchers, Engineers & Managers",Biostatisticians,173.93149
280,AI powered Business Automation-Student Position- Research Lab,Computer and Information Research Scientists,122.390686
281,AI powered Business Automation-Student Position- Research Lab,"Computer Science Teachers, Postsecondary",126.88693
282,AI powered Business Automation-Student Position- Research Lab,Materials Scientists,127.56731
283,AI powered Business Automation-Student Position- Research Lab,Web Developers,129.45044
284,AI powered Business Automation-Student Position- Research Lab,"Psychology Teachers, Postsecondary",129.94922
285,AI powered Business Automation-Student Position- Research Lab,"Forestry and Conservation Science Teachers, Postsecondary",131.09503
286,AI powered Business Automation-Student Position- Research Lab,"Agricultural Sciences Teachers, Postsecondary",131.1413
287,AI powered Business Automation-Student Position- Research Lab,"Recreation and Fitness Studies Teachers, Postsecondary",131.35698
288,AI powered Business Automation-Student Position- Research Lab,"Health Specialties Teachers, Postsecondary",131.90233
289,AI powered Business Automation-Student Position- Research Lab,"Engineering Teachers, Postsecondary",132.19206
290,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Materials Scientists,180.85071
291,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Physicists,183.61235
292,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Astronomers,188.41039
293,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Nanosystems Engineers,189.16704
294,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Statisticians,192.57364
295,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Fuel Cell Engineers,192.83395
296,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,"Electronics Engineers, Except Computer",196.42365
297,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Photonics Technicians,196.63742
298,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Quality Control Analysts,197.87999
299,Research Fellow (Microfabricated Optical Clocks) Centre for Quantum Technologies,Chemical Technicians,198.74075
300,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Astronomers,141.05502
301,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Materials Scientists,144.70355
302,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Physicists,152.2066
303,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Nanosystems Engineers,154.15656
304,"Research Fellow, Flying Qubits, Centre For Quantum Technologies",Biostatisticians,176.9657
