,distance,number_of_the_match,official_code,official_job_name,matched_Title,matched_Description
1047,99.025116,1,11-3131.00,Training and Development Managers,Manager Learning - People Advisory Services (w/m/d),
1048,202.01303,1,25-1021.00,"Computer Science Teachers, Postsecondary",Linux ATOS ACADEMY,
1049,169.34889,1,25-1199.00,"Postsecondary Teachers, All Other",(Junior) Consultant – Komplexitätsmanagement Luftfahrt (all genders),
1050,204.5232,1,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",PhD position in Acoustic resonance for boundary layer flow control,
1051,144.68135,1,15-1211.01,Health Informatics Specialists,Healthcare Go-To-Market (GTM) Manager,
1052,151.67966,1,13-2082.00,Tax Preparers,(Junior) Project Manager (PMO) - Tax (m/w/d) in Nürnberg,
1053,152.62622,1,25-1032.00,"Engineering Teachers, Postsecondary",Engineer (Inhouse) (m/f/x) in Mannheim,
1054,186.60307,1,25-1071.00,"Health Specialties Teachers, Postsecondary",Lecturer - Bachelor of International Public Health program,
1055,117.43805,1,27-3042.00,Technical Writers,Controls Engineer,
1056,190.23062,1,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Internships - PhD students from relevant fields (m/w/d),
1057,137.26973,1,17-3024.01,Robotics Technicians,Robotic Software Engineer (m/w/d) Drone Port,
1058,17.035755,1,47-2061.00,Construction Laborers,Construction Labourer,
1059,162.13484,1,27-2012.04,Talent Directors,Assistant Controller – Growth Opportunity – Remote,
1060,60.062836,1,11-3031.00,Financial Managers,Finance (Executive / Asst. Manager),
1061,92.12348,1,13-1161.00,Market Research Analysts and Marketing Specialists,Analyste des ventes et du marketing,
1062,87.59454,1,31-9095.00,Pharmacy Aides,Customer Service Coordinator – Pharmaceutical,
1063,180.02486,1,11-9033.00,"Education Administrators, Postsecondary",Recruteur – poste permanent !,
1064,65.81734,1,19-2012.00,Physicists,Quantum Theoretical Physicist,
1065,79.81369,1,19-2012.00,Physicists,Theoretical Physicist or Chemist (f/m/x),
1066,163.18713,1,17-2199.07,Photonics Engineers,Quantum Experimental Internship,
1067,125.4706,1,17-2112.01,Human Factors Engineers and Ergonomists,Engineering Project Coordinator (NL),
