,scrapped_jobs,official_match_title,match_code,distance
161,Quantum Sensing Expert,Environmental Compliance Inspectors,13-1041.01,284.5312
162,Quantum Sensing Expert,Aerospace Engineers,17-2011.00,285.8355
163,Quantum Sensing Expert,Compliance Officers,13-1041.00,286.384
164,Quantum Sensing Expert,"Shipping, Receiving, and Inventory Clerks",43-5071.00,286.74457
165,Quantum Sensing Expert,Cargo and Freight Agents,43-5011.00,288.95532
166,Quantum Sensing Expert,Document Management Specialists,15-1299.03,289.27936
167,Quantum Sensing Expert,Security Managers,11-3013.01,290.89178
168,Quantum Sensing Expert,Electrical Engineers,17-2071.00,290.89374
169,Quantum Sensing Expert,Environmental Engineering Technologists and Technicians,17-3025.00,291.36945
170,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Astronomers,19-2011.00,136.6102
171,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Materials Scientists,19-2032.00,139.10529
172,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Physicists,19-2012.00,150.2193
173,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Nanosystems Engineers,17-2199.09,151.71164
174,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Biostatisticians,15-2041.01,172.51086
175,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Bioinformatics Scientists,19-1029.01,174.19992
176,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Survey Researchers,19-3022.00,174.50809
177,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies","Agricultural Sciences Teachers, Postsecondary",25-1041.00,175.3635
178,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Remote Sensing Scientists and Technologists,19-2099.01,176.12233
179,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Geneticists,19-1029.03,176.45224
180,Associate Agile Consultant – IBM CIC,Business Intelligence Analysts,15-2051.01,171.47748
181,Associate Agile Consultant – IBM CIC,Web Developers,15-1254.00,173.58463
182,Associate Agile Consultant – IBM CIC,Database Administrators,15-1242.00,178.07758
183,Associate Agile Consultant – IBM CIC,Computer and Information Research Scientists,15-1221.00,179.21588
184,Associate Agile Consultant – IBM CIC,"Library Assistants, Clerical",43-4121.00,180.20128
185,Associate Agile Consultant – IBM CIC,Database Architects,15-1243.00,182.4762
186,Associate Agile Consultant – IBM CIC,Word Processors and Typists,43-9022.00,182.49493
187,Associate Agile Consultant – IBM CIC,Appraisers of Personal and Business Property,13-2022.00,183.02292
188,Associate Agile Consultant – IBM CIC,Bioinformatics Technicians,15-2099.01,185.44247
189,Associate Agile Consultant – IBM CIC,File Clerks,43-4071.00,186.36853
190,"Senior Research Fellow (Quantum Optics), Centre For Quantum Technologies",Astronomers,19-2011.00,136.6102
