,countRef,openDate,sector,europages,company_class_1,employer,employerType,jobTitle,type,countries
136,137,20210918,a quantum computing hardware and software company,,company,oxford quantum circuits,O,operations specialist,A,GB
137,138,20220705,public research university,,university,university of warwick,U,research fellow,A,GB
138,139,20220212,,,university,technical university of munich (tum),U,full-time research assistant (m/f/d),A,DE
139,140,20210416,an exempt charity and a common law corporation,,university,university of cambridge,U,research assistant/associate (fixed term),A,GB
140,141,20201010,revolutionary technology platform,Manufacturer/ Producer,,quantum motion technology,O,quantum integrated circuit engineer,A,GB
141,142,20220423,Developer of quantum computing software designed to transform experimental technology into commercial products,,,riverlane,O,software engineer,A,GB
142,143,20220504,provides businesses with an easy on-ramp to quantum and hybrid computing,,company,quantagonia,O,business development intern (m/w/d),I,DE
143,144,20210227,,,,uk research & innovation (ukri),O,deputy director of research - nqcc,A,GB
144,145,20211122,,Manufacturer/ Producer,,physikalisch-technische bundesanstalt (ptb),O,open phd and postdoc positions - quantum metrology with optical clocks,P,DE
145,146,20220106,a quantum computing hardware and software company,,company,oxford quantum circuits,O,communications and marketing specialist,A,GB
146,147,20220826,an international quantum technology company,,company,qdevil,O,scientific marketing assistant,I,DK
147,148,20210905,develops and manufactures high-end laser systems for scientific and industrial applications,,company,toptica photonics,O,application scientist (m/w/d) quantum technologies,A,DE
148,149,20210814,a leading provider of high technology tools and systems for research and industry,,,oxford instrumentsi plc,O,customer project and sustaining engineering manager,A,GB
149,150,20220711,,,university,carl von ossietzky universitt oldenburg,U,"phd (m/f/d), e13",A,DE
150,151,20210326,,,university,imperial college london,U,research associate cooling molecules to quantum degeneracy,A,GB
151,152,20220312,independent quantum computing company,,company,cambridge quantum computing,O,quantum photonics engineers (various levels),A,GB
152,153,20211016,,,,fraunhofer-institut fr angewandte optik und feinmechanik,O,systems engineer for photonic quantum computing,A,DE
153,154,20211123,,Service Provider,,european space agency,O,junior professional in cyber security mission operations domain,A,DE
154,155,20210714,a large public university,,university,saarland university,U,w2-professorship for theoretical physics of quantum information reference number w1901,F,DE
155,156,20210520,,Service Provider,,bosch group,O,phd diamond nv magnetometry for detection of bio-magnetic signals in unshielded environments,A,DE
